role,skill,count,p_skill_given_role
Backend Engineer,scikit-learn,0,0.0
Backend Engineer,bash,0,0.0
Backend Engineer,postgresql,12,0.6
Backend Engineer,python,9,0.45
Backend Engineer,pandas,0,0.0
Backend Engineer,etl,0,0.0
Backend Engineer,spark,0,0.0
Backend Engineer,pytorch,0,0.0
Backend Engineer,react,0,0.0
Backend Engineer,java,11,0.55
Backend Engineer,linux,0,0.0
Backend Engineer,django,11,0.55
Backend Engineer,docker,12,0.6
Backend Engineer,kafka,0,0.0
Backend Engineer,airflow,0,0.0
Backend Engineer,kubernetes,11,0.55
Backend Engineer,css,0,0.0
Backend Engineer,jenkins,0,0.0
Backend Engineer,javascript,0,0.0
Backend Engineer,aws,0,0.0
Backend Engineer,terraform,0,0.0
Backend Engineer,tensorflow,0,0.0
Backend Engineer,html,0,0.0
Backend Engineer,typescript,0,0.0
Backend Engineer,spring boot,8,0.4
Backend Engineer,sql,0,0.0
Data Engineer,scikit-learn,0,0.0
Data Engineer,bash,0,0.0
Data Engineer,postgresql,0,0.0
Data Engineer,python,15,0.75
Data Engineer,pandas,0,0.0
Data Engineer,etl,11,0.55
Data Engineer,spark,12,0.6
Data Engineer,pytorch,0,0.0
Data Engineer,react,0,0.0
Data Engineer,java,0,0.0
Data Engineer,linux,0,0.0
Data Engineer,django,0,0.0
Data Engineer,docker,0,0.0
Data Engineer,kafka,8,0.4
Data Engineer,airflow,8,0.4
Data Engineer,kubernetes,0,0.0
Data Engineer,css,0,0.0
Data Engineer,jenkins,0,0.0
Data Engineer,javascript,0,0.0
Data Engineer,aws,6,0.3
Data Engineer,terraform,0,0.0
Data Engineer,tensorflow,0,0.0
Data Engineer,html,0,0.0
Data Engineer,typescript,0,0.0
Data Engineer,spring boot,0,0.0
Data Engineer,sql,14,0.7
Data Scientist,scikit-learn,12,0.6
Data Scientist,bash,0,0.0
Data Scientist,postgresql,0,0.0
Data Scientist,python,11,0.55
Data Scientist,pandas,13,0.65
Data Scientist,etl,0,0.0
Data Scientist,spark,0,0.0
Data Scientist,pytorch,13,0.65
Data Scientist,react,0,0.0
Data Scientist,java,0,0.0
Data Scientist,linux,0,0.0
Data Scientist,django,0,0.0
Data Scientist,docker,0,0.0
Data Scientist,kafka,0,0.0
Data Scientist,airflow,0,0.0
Data Scientist,kubernetes,0,0.0
Data Scientist,css,0,0.0
Data Scientist,jenkins,0,0.0
Data Scientist,javascript,0,0.0
Data Scientist,aws,0,0.0
Data Scientist,terraform,0,0.0
Data Scientist,tensorflow,11,0.55
Data Scientist,html,0,0.0
Data Scientist,typescript,0,0.0
Data Scientist,spring boot,0,0.0
Data Scientist,sql,10,0.5
DevOps Engineer,scikit-learn,0,0.0
DevOps Engineer,bash,15,0.75
DevOps Engineer,postgresql,0,0.0
DevOps Engineer,python,0,0.0
DevOps Engineer,pandas,0,0.0
DevOps Engineer,etl,0,0.0
DevOps Engineer,spark,0,0.0
DevOps Engineer,pytorch,0,0.0
DevOps Engineer,react,0,0.0
DevOps Engineer,java,0,0.0
DevOps Engineer,linux,9,0.45
DevOps Engineer,django,0,0.0
DevOps Engineer,docker,8,0.4
DevOps Engineer,kafka,0,0.0
DevOps Engineer,airflow,0,0.0
DevOps Engineer,kubernetes,10,0.5
DevOps Engineer,css,0,0.0
DevOps Engineer,jenkins,10,0.5
DevOps Engineer,javascript,0,0.0
DevOps Engineer,aws,12,0.6
DevOps Engineer,terraform,10,0.5
DevOps Engineer,tensorflow,0,0.0
DevOps Engineer,html,0,0.0
DevOps Engineer,typescript,0,0.0
DevOps Engineer,spring boot,0,0.0
DevOps Engineer,sql,0,0.0
Frontend Engineer,scikit-learn,0,0.0
Frontend Engineer,bash,0,0.0
Frontend Engineer,postgresql,0,0.0
Frontend Engineer,python,0,0.0
Frontend Engineer,pandas,0,0.0
Frontend Engineer,etl,0,0.0
Frontend Engineer,spark,0,0.0
Frontend Engineer,pytorch,0,0.0
Frontend Engineer,react,14,0.7
Frontend Engineer,java,0,0.0
Frontend Engineer,linux,0,0.0
Frontend Engineer,django,0,0.0
Frontend Engineer,docker,0,0.0
Frontend Engineer,kafka,0,0.0
Frontend Engineer,airflow,0,0.0
Frontend Engineer,kubernetes,0,0.0
Frontend Engineer,css,11,0.55
Frontend Engineer,jenkins,0,0.0
Frontend Engineer,javascript,11,0.55
Frontend Engineer,aws,0,0.0
Frontend Engineer,terraform,0,0.0
Frontend Engineer,tensorflow,0,0.0
Frontend Engineer,html,12,0.6
Frontend Engineer,typescript,12,0.6
Frontend Engineer,spring boot,0,0.0
Frontend Engineer,sql,0,0.0
